Profile_Id,Profile_Name,Profile_Link
294,Patricia Ann Sexton Bluteau,https://pureportal.coventry.ac.uk/en/persons/patricia-ann-sexton-bluteau
295,Kwabena Appiah Boakye,https://pureportal.coventry.ac.uk/en/persons/kwabena-appiah-boakye
296,Richard Boczko,https://pureportal.coventry.ac.uk/en/persons/richard-boczko
297,Benjamin Bogdanovic,https://pureportal.coventry.ac.uk/en/persons/benjamin-bogdanovic
298,Adam Bogg,https://pureportal.coventry.ac.uk/en/persons/adam-bogg
299,Kelly Bogue,https://pureportal.coventry.ac.uk/en/persons/kelly-bogue
300,Anna Bogush,https://pureportal.coventry.ac.uk/en/persons/anna-bogush
301,Shadi Bokaee,https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee
302,Samuel Thomas Booth,https://pureportal.coventry.ac.uk/en/persons/samuel-thomas-booth
303,JC Botha,https://pureportal.coventry.ac.uk/en/persons/jc-botha
304,Willings Botha,https://pureportal.coventry.ac.uk/en/persons/willings-botha
305,Faouzi Bouali,https://pureportal.coventry.ac.uk/en/persons/faouzi-bouali
306,Jonathan Bowen,https://pureportal.coventry.ac.uk/en/persons/jonathan-bowen
307,M Brack,https://pureportal.coventry.ac.uk/en/persons/m-brack
308,Malcolm Bradbrook,https://pureportal.coventry.ac.uk/en/persons/malcolm-bradbrook
